Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
360	-45.97889	-89.32062	43.34173	0.0181662	0.125884	0.0224551	0.061436	0.011562	0.00654156	0.00453552	0.00337319	0.0445087	0.0210746	0.0300121	0.0597009	0.103107	0.174588	0.0104892	0.00596815	0.0121189	0.0079406	0.0215898	0.0454435	0.0274899	0.00754279	0.0368322	0.0123626	0.0196882	0.0208556	0.0518727	0.0299532	0.0218056	0.0122741	0.103445	0.0835601	0.00168753	0.0112898	0.0194669	1.29339	0.7066097	0.996804	0.99844	0.999513	1.00049	1.00156	1.00321	0.002314641	0.5463236	0.0145257	0.100657	0.0179552	0.0491244	0.009245	0.00523065	0.00362661	0.00269721	0.0355892	0.0168513	0.0239977	0.047737	0.0824448	0.139601	0.00838722	0.00477215	0.00969029	0.00634932	0.0172633	0.0363367	0.021981	0.00603123	0.0294511	0.00988513	0.0157427	0.0166762	0.0414775	0.0239507	0.0174358	0.0098144	0.0827152	0.0668148	0.00134935	0.00902737	0.0155658	0.837549	0.162451	0.8375489	1.250621
396	-46.93332	-91.20222	44.2689	0.0378878	0.00561286	0.0209161	0.00224395	0.01554	0.00565538	0.00023936	0.00553389	0.0665756	0.0138642	0.0272805	0.00414293	0.0274923	0.211662	0.00849101	0.00918597	0.00627458	0.0326841	0.00315317	0.0528223	0.0516111	0.0339847	0.00582642	0.00915887	0.00209496	0.0183816	0.044288	0.00406471	0.0175139	0.0151704	0.0911989	0.0531208	0.0214831	0.0109064	0.0261794	1.647294	0.3527062	0.901187	0.950524	0.984294	1.01596	1.05205	1.10965	0.07522967	0.2141125	0.0393745	0.00583311	0.0217369	0.00233201	0.0161498	0.0058773	0.000248753	0.00575104	0.0691881	0.0144083	0.028351	0.0043055	0.0285711	0.219968	0.0088242	0.00954642	0.00652079	0.0339666	0.0032769	0.0548951	0.0536363	0.0353182	0.00605505	0.00951826	0.00217717	0.0191029	0.0460259	0.00422421	0.0182012	0.0157656	0.0947775	0.0552053	0.0223261	0.0113344	0.0272066	0.625545	0.374455	0.6255451	0.9622415
432	-57.78413	-100.2643	42.48018	0.00464177	0.0320758	0.0148721	0.00412587	0.0024328	0.0178707	0.00664551	0.0324651	0.013884	0.046546	0.0254289	0.00305875	0.0473236	0.0143132	0.00332083	0.00345602	0.019655	0.01208	8.30009e-05	0.0393331	0.0275965	0.0283541	0.0245777	0.0165526	0.000867258	0.00625939	0.0285182	0.00423595	0.0264525	0.0277529	0.00117827	0.0255361	0.0282472	0.0987517	0.0243158	1.099859	0.9001412	0.246083	0.504695	0.807887	1.2378	1.9814	4.06368	1.013806	0.8184152	0.00651195	0.0449992	0.020864	0.00578818	0.00341298	0.0250708	0.009323	0.0455454	0.0194779	0.0652995	0.0356743	0.00429113	0.0663904	0.02008	0.0046588	0.00484846	0.027574	0.016947	0.000116442	0.0551805	0.0387152	0.039778	0.0344801	0.0232217	0.00121668	0.00878131	0.0400083	0.00594262	0.0371103	0.0389346	0.001653	0.0358246	0.039628	0.138539	0.0341127	0.660021	0.339979	0.6600207	0.7128083
468	-59.65018	-100.9873	41.33713	0.00656728	0.0104209	0.010069	0.0026679	0.00959988	0.0351942	0.000999745	0.0135224	0.00948222	0.00373897	0.004973	0.00233017	0.00350413	0.00365152	0.00245501	0.00107373	0.00160142	0.00115413	0.0139654	0.00878263	0.011215	0.00866883	0.0106693	0.0052847	0.00214476	0.00916852	0.0116815	0.000704434	0.00591889	0.0135146	0.035522	0.0125701	0.0197369	0.00609869	0.00724613	0.8579753	1.142025	0.104494	0.332359	0.70917	1.4101	3.00879	9.56995	1.633144	1.33107	0.0214689	0.0340666	0.0329161	0.00872154	0.0313826	0.115052	0.00326823	0.0442056	0.030998	0.0122229	0.016257	0.00761749	0.0114552	0.0119371	0.00802559	0.00351009	0.00523516	0.00377291	0.0456537	0.028711	0.0366624	0.028339	0.0348786	0.017276	0.00701136	0.0299725	0.0381875	0.00230284	0.0193492	0.0441801	0.116124	0.0410925	0.0645212	0.019937	0.0236881	0.995047	0.00495341	0.9950466	0.3058978
504	-59.46395	-103.9473	44.48338	0.00924658	0.0409452	0.00925559	0.00235732	0.00688538	0.0132002	0.0287442	0.00499763	0.00503748	0.0201105	0.00563146	0.0905358	0.0112675	0.0203655	0.000262549	0.0507871	0.0236997	0.00741183	0.00289152	0.0382099	0.0335289	0.00594525	0.0292383	0.0262634	0.000438096	0.000788647	0.00743755	0.000397347	0.0349264	0.00297292	0.0131182	0.0192604	0.0125859	0.00207787	0.0580285	1.648924	0.3510759	0.869161	0.933897	0.97889	1.02157	1.07078	1.15054	0.1013939	0.2129121	0.0144738	0.064092	0.0144879	0.00368994	0.0107778	0.0206624	0.0449936	0.00782285	0.00788523	0.0314792	0.00881499	0.141717	0.0176372	0.0318783	0.00041097	0.0794977	0.0370974	0.0116018	0.00452613	0.0598104	0.0524832	0.00930617	0.045767	0.0411104	0.000685756	0.00123448	0.0116421	0.000621972	0.0546706	0.00465354	0.0205341	0.0301486	0.0197009	0.00325252	0.0908327	0.754785	0.245215	0.7547852	0.6388506
540	-51.29075	-95.15379	43.86304	0.00912986	0.03244	0.00244353	0.0103729	0.0195525	0.00568993	0.0218811	0.00511557	0.00560218	0.00498628	0.0192657	0.00164995	0.0020638	0.0180734	0.00285289	0.0088309	0.0170747	0.00755444	0.000835782	0.0043263	0.00152576	0.0126614	0.00417459	0.00479685	0.00133345	0.0156161	0.00586058	0.0025709	0.0105951	0.048184	0.0121547	0.00507583	0.034203	0.0017734	0.0154474	1.879022	0.1209782	0.172224	0.424074	0.765189	1.30687	2.35808	5.80638	1.271847	0.06438359	0.0243	0.086342	0.00650369	0.0276085	0.0520407	0.0151443	0.0582386	0.0136156	0.0149107	0.0132715	0.0512774	0.00439149	0.00549299	0.0481041	0.00759323	0.0235043	0.045446	0.0201068	0.00222451	0.0115149	0.00406096	0.0336995	0.0111111	0.0127673	0.0035491	0.0415637	0.0155985	0.00684268	0.0281999	0.128246	0.0323508	0.0135098	0.0910345	0.00472006	0.0411148	0.952247	0.0477534	0.9522466	0.3757147
576	-55.74867	-97.81533	42.06666	0.00326207	0.00668877	0.0272701	0.0109252	0.0055432	0.0069738	0.00493098	0.0177957	0.000790731	0.0177093	0.00559856	0.0213883	0.000442648	0.0131194	0.0187602	0.0182499	0.0145818	0.0294409	0.000593916	0.00159351	0.0102653	0.000391753	0.0181377	0.0108152	0.000464368	0.00390494	0.00970652	0.00225228	0.0380142	0.0232413	0.0255307	0.0234773	0.00937828	0.0038565	0.00356964	0.7231192	1.276881	0.393212	0.634305	0.867602	1.1526	1.57653	2.54316	0.6749179	1.765796	0.00798226	0.0163674	0.0667297	0.026734	0.0135642	0.0170648	0.0120661	0.043546	0.00193491	0.0433346	0.0136996	0.052337	0.00108316	0.0321032	0.0459061	0.0446575	0.0356814	0.0720416	0.00145331	0.00389931	0.025119	0.000958616	0.0443827	0.0264648	0.00113631	0.00955537	0.0237518	0.00551131	0.0930204	0.0568712	0.0624734	0.0574487	0.0229486	0.00943684	0.00873489	0.977528	0.0224716	0.9775284	0.4086649
612	-51.37133	-95.52548	44.15415	0.00971659	0.0180606	0.00716142	0.0015255	0.00632728	0.00740618	0.00200599	0.0007652	0.00170515	0.00323165	0.000741842	0.0160946	0.0104462	0.0197097	0.00301875	0.00584339	0.00168249	0.0062778	0.00411527	0.00577875	0.00681525	0.00799317	0.00359407	0.00301806	0.000400921	0.000443055	0.00425851	0.0199803	0.015161	0.0248469	0.00341869	0.00858008	0.00873781	0.00614202	0.00573036	1.675614	0.3243859	0.634633	0.801106	0.933153	1.07164	1.24827	1.57571	0.3287851	0.1935923	0.0387525	0.0720308	0.0285618	0.00608412	0.025235	0.0295379	0.00800044	0.00305183	0.00680062	0.0128887	0.00295867	0.0641897	0.0416625	0.0786077	0.0120396	0.0233051	0.00671023	0.0250376	0.0164128	0.0230473	0.0271811	0.031879	0.0143342	0.0120369	0.00159899	0.00176703	0.0169841	0.0796871	0.0604663	0.0990966	0.0136347	0.0342198	0.0348488	0.0244961	0.0228543	0.633331	0.366669	0.6333308	0.2507346
648	-54.57117	-96.28687	41.7157	0.00313338	0.0165164	0.000546077	0.00213615	0.0206487	0.0272453	0.00737478	0.000778458	0.00330852	0.00839595	0.0160373	0.0311078	0.0480863	0.0207814	0.00732638	0.00114443	0.0151662	0.00257931	0.0305376	0.00470269	0.00197572	0.005691	0.00745569	0.0106029	0.00132106	0.0149083	0.00945994	0.0217269	0.00398421	0.0123255	0.000269958	0.00827293	0.0128475	0.00837121	0.0101842	0.6790717	1.320928	0.284646	0.54183	0.825981	1.21068	1.8456	3.51313	0.9085423	1.945197	0.00789365	0.0416084	0.00137568	0.00538141	0.0520185	0.0686366	0.0185786	0.0019611	0.00833486	0.0211511	0.0404014	0.0783671	0.121139	0.0523526	0.0184567	0.00288306	0.0382067	0.00649781	0.0769305	0.011847	0.00497724	0.0143368	0.0187824	0.0267108	0.00332803	0.0375571	0.0238316	0.0547346	0.0100371	0.0310505	0.000680081	0.0208412	0.0323655	0.0210888	0.0256561	0.972502	0.0274977	0.9725023	0.3969501
684	-43.61933	-87.08557	43.46624	0.0102285	0.047034	0.00182607	0.00227411	0.0146072	0.0207385	0.0244242	0.00229186	0.00463613	0.0450167	0.00473674	0.00719156	0.0304505	0.0292838	0.000116682	0.0169256	0.00136764	0.0107767	0.034714	0.0341729	0.000220597	0.0116681	0.0163629	0.058255	0.000128557	0.0101713	0.0312967	0.0371597	0.0614024	0.0365935	0.00683106	0.0238838	0.0669169	0.0110923	0.023491	1.269044	0.730956	0.633421	0.800359	0.932882	1.07195	1.24944	1.57873	0.3301674	0.5759895	0.0138544	0.0637069	0.00247338	0.00308025	0.0197852	0.02809	0.0330822	0.00310429	0.00627957	0.0609745	0.00641585	0.00974087	0.0412448	0.0396645	0.000158044	0.0229255	0.00185245	0.0145968	0.0470196	0.0462867	0.000298796	0.0158043	0.0221633	0.0789056	0.000174128	0.0137769	0.0423909	0.0503324	0.0831687	0.0495655	0.00925257	0.0323503	0.090638	0.0150244	0.0318183	0.972318	0.0276825	0.9723175	0.7382872
