Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-58.03812	-101.514	43.47588	0.00416482	0.0137015	0.0128149	0.0189931	0.0724258	0.0304947	0.0201865	0.0028043	0.00435369	0.0194852	0.0205044	0.0134841	0.0369316	0.0346026	0.0531414	0.00265928	0.0107928	0.0108665	0.00434772	0.136546	0.00681787	0.00483908	0.0470512	0.0109627	0.0439143	0.00131271	0.0404543	0.0520305	0.0112087	0.00222326	0.023448	0.0740104	0.0466132	0.010836	0.0260516	1.315037	0.6849633	0.699953	0.84031	0.947167	1.05578	1.19004	1.42867	0.2579495	0.5208701	0.00450214	0.0148112	0.0138529	0.0205314	0.0782919	0.0329646	0.0218214	0.00303144	0.00470631	0.0210634	0.0221651	0.0145762	0.0399229	0.0374052	0.0574456	0.00287466	0.0116669	0.0117467	0.00469986	0.147605	0.00737008	0.00523102	0.0508621	0.0118506	0.0474711	0.00141903	0.0437308	0.0562447	0.0121165	0.00240333	0.0253472	0.0800048	0.0503886	0.0117136	0.0281616	0.915553	0.0844472	0.9155528	0.9250744
36	-51.73706	-94.46927	42.73221	0.00589133	0.0169984	0.0208687	0.0182981	0.0178719	0.00162244	0.0104012	0.0682092	0.00999787	0.00704168	0.0339062	0.00229585	0.0125534	0.0319095	0.0535825	0.0209768	0.00168303	0.0140429	0.0289597	0.0282607	0.00189369	0.0211332	0.00715478	0.0795238	0.0463072	0.000813078	0.0188951	0.00962082	0.0173259	0.0192134	0.0633131	0.00943377	0.00572517	0.00658209	0.0109117	0.7783337	1.221666	0.890479	0.944999	0.982506	1.01781	1.0582	1.12299	0.08387297	1.569592	0.00814599	0.0235038	0.0288553	0.0253009	0.0247117	0.00224336	0.0143819	0.0943135	0.0138241	0.00973659	0.0468824	0.00317449	0.0173577	0.0441216	0.0740889	0.0290047	0.00232714	0.0194172	0.0400428	0.0390763	0.00261842	0.0292211	0.00989297	0.109958	0.0640294	0.00112425	0.0261264	0.0133028	0.0239567	0.0265666	0.0875436	0.0130442	0.00791623	0.00910112	0.0150877	0.980253	0.0197475	0.9802525	0.7232183
72	-51.13132	-95.3808	44.24948	0.00769067	0.0573529	0.00838297	0.00381188	0.0145641	0.00384938	0.0317659	0.0168649	0.00240401	0.0298628	0.029574	0.0038301	0.0108842	0.0371686	0.0205262	0.0253814	0.000180435	0.0354552	0.01301	0.00458045	0.00445829	0.0322368	0.00613622	0.022555	0.0267252	0.0110491	0.0239584	0.00945874	0.00925068	0.00556766	0.0225145	0.0243139	0.00733282	0.0417185	0.045674	1.579179	0.4208208	0.772842	0.881904	0.961551	1.03999	1.13391	1.29393	0.1863211	0.2664807	0.0118302	0.0882231	0.0128951	0.00586362	0.0224032	0.0059213	0.0488639	0.0259424	0.00369797	0.0459364	0.0454921	0.00589164	0.0167426	0.0571745	0.0315743	0.0390429	0.000277554	0.0545389	0.0200126	0.00704587	0.00685796	0.0495882	0.00943903	0.0346953	0.0411099	0.0169962	0.036854	0.0145499	0.0142299	0.00856445	0.0346329	0.0374008	0.0112797	0.0641735	0.070258	0.606921	0.393079	0.6069205	0.6500899
108	-48.20545	-91.56817	43.36272	0.00284852	0.00466523	0.0100375	0.00223825	0.00720788	6.96031e-05	0.015566	0.00340477	0.000924574	0.00463055	0.0279596	0.0113013	0.00568145	0.0318715	0.00611384	0.00197059	0.00138231	0.00782964	0.0110795	0.0131395	0.000411045	0.0463654	0.0108002	0.0259566	0.0123012	0.000362959	0.0579074	0.0477176	0.00476933	0.0181036	0.0517242	0.00377049	0.0136706	0.0164781	0.00783971	1.463405	0.5365954	0.29444	0.550844	0.830244	1.20447	1.8154	3.39627	0.884081	0.366676	0.00583593	0.00955793	0.0205645	0.00458562	0.0147672	0.0001426	0.031891	0.00697555	0.00189423	0.00948688	0.0572824	0.0231537	0.0116399	0.065297	0.0125258	0.00403726	0.00283201	0.016041	0.0226992	0.0269196	0.000842133	0.0949916	0.0221269	0.0531787	0.0252021	0.000743614	0.118638	0.0977619	0.0097712	0.0370899	0.10597	0.00772483	0.0280077	0.0337597	0.0160617	0.916749	0.0832507	0.9167493	0.4881005
144	-46.24308	-89.56515	43.32207	0.0219113	0.0176511	0.0172079	0.00795963	0.0357804	3.98629e-05	0.00591886	0.00142527	0.000913417	0.031167	0.0225758	0.000672697	0.00213077	0.0638354	0.000107788	0.0132422	0.0117265	0.00178663	0.015811	0.0625484	0.00906224	0.0267361	0.0120677	0.00385634	0.0463696	0.000212753	0.0204435	0.00776049	0.00403725	0.0320981	0.0282545	0.0167811	0.0217184	0.0349319	0.0294188	1.50697	0.4930302	0.25762	0.516099	0.813538	1.2292	1.93761	3.88169	0.9806775	0.3271666	0.0348817	0.0280997	0.0273941	0.0126713	0.0569607	6.34597e-05	0.00942253	0.00226895	0.00145411	0.0496162	0.0359395	0.0010709	0.00339208	0.101623	0.000171593	0.0210809	0.0186679	0.00284422	0.0251703	0.0995739	0.0144266	0.0425625	0.0192112	0.0061391	0.073818	0.000338693	0.032545	0.0123543	0.0064271	0.0510985	0.0449797	0.0267146	0.0345746	0.0556099	0.0468333	0.871281	0.128719	0.8712806	0.6281606
180	-49.87208	-93.56469	43.69261	0.0109069	0.00978511	0.0158389	0.0096377	0.0112314	0.000117203	0.00320984	0.000400832	0.00111342	0.0165646	0.00666358	0.00352655	0.0115594	0.0176607	6.72122e-06	0.00141985	0.00553238	0.00135662	0.00243831	0.0121472	0.00154797	0.0167037	0.00151926	0.000301285	0.0121737	0.000162627	0.00284932	0.00762457	0.00659226	0.0191153	0.0170719	0.0165873	0.0325828	0.0339347	0.00898344	1.592679	0.4073211	0.369131	0.615053	0.8593	1.16374	1.62587	2.70907	0.720613	0.2557459	0.0342053	0.0306871	0.0496725	0.0302248	0.0352229	0.000367559	0.0100664	0.00125705	0.00349181	0.0519483	0.0208977	0.0110596	0.0362514	0.0553857	2.10784e-05	0.00445281	0.0173501	0.00425449	0.00764678	0.0380949	0.0048546	0.0523844	0.00476455	0.000944862	0.0381779	0.000510014	0.00893577	0.0239114	0.020674	0.0599474	0.0535391	0.0520194	0.102183	0.106423	0.028173	0.329627	0.670373	0.3296271	0.3188672
216	-49.28764	-93.75073	44.46309	0.00196157	0.0154919	0.0157659	0.00831439	0.0426508	0.00568813	0.010145	0.00144096	0.00255834	0.0313876	0.0012503	0.00876466	0.0472518	0.0440935	0.000325856	0.0137871	0.00407677	0.00377218	0.0052079	0.00445536	0.0052411	0.0237761	0.0465365	0.00607905	0.0172917	0.00678905	0.00409222	0.00991129	0.0182003	0.0429168	0.0204072	0.00434002	0.0100847	0.0478556	0.0176446	1.816475	0.183525	0.475574	0.69595	0.893074	1.11973	1.43688	2.10272	0.537409	0.1010336	0.00356937	0.0281898	0.0286885	0.0151293	0.0776096	0.0103504	0.0184603	0.00262204	0.00465528	0.0571144	0.0022751	0.0159486	0.0859817	0.0802348	0.000592944	0.0250878	0.00741829	0.00686405	0.00947655	0.0081072	0.00953697	0.0432642	0.0846801	0.0110617	0.0314648	0.0123537	0.00744641	0.0180351	0.0331182	0.0780936	0.037134	0.00789731	0.0183506	0.0870804	0.032107	0.999538	0.000461792	0.9995382	0.5495563
252	-49.93278	-92.77182	42.83904	0.00445751	0.0665766	0.0100685	0.00154545	0.0126285	0.0146901	0.016691	0.0148003	0.00323217	0.000951715	0.00709801	0.00394229	0.0102463	0.0398829	0.0269226	0.0279743	0.00296796	0.0069791	0.00155251	0.0170203	0.001212	0.011485	0.0139982	0.00644079	0.0291016	0.000285756	0.021336	0.0155317	0.0170302	0.0719113	0.0150589	0.0539739	0.0243299	0.0766308	0.00528231	0.9742896	1.02571	0.544597	0.743504	0.911681	1.09688	1.34498	1.83622	0.439415	1.052778	0.00681747	0.101825	0.0153991	0.00236366	0.0193144	0.0224676	0.0255277	0.0226361	0.00494339	0.00145559	0.0108559	0.00602947	0.015671	0.0609983	0.0411764	0.0427849	0.00453931	0.0106741	0.00237446	0.0260314	0.00185368	0.0175655	0.0214093	0.00985077	0.0445089	0.000437045	0.032632	0.0237547	0.0260466	0.109984	0.0230316	0.0825496	0.0372111	0.117202	0.00807895	0.725216	0.274784	0.7252161	0.6538365
288	-56.17708	-100.18	44.00293	0.0156375	0.0781569	0.0300562	0.00264991	0.0463623	0.0732505	0.0205315	0.00641015	0.00235179	0.0363269	0.00954598	0.00124353	0.028095	0.0640288	0.000334686	0.051537	0.0221384	0.0289259	0.000147427	0.0264925	0.00432176	0.030227	0.0311159	0.0187805	0.0468276	0.0092568	0.0337252	0.0149329	0.000219138	0.121891	0.0859545	0.0296701	0.0195834	0.14138	0.0337752	1.646997	0.353003	0.840936	0.918982	0.973985	1.02671	1.08816	1.18915	0.1252638	0.2143313	0.0134126	0.0670366	0.0257798	0.00227288	0.0397658	0.0628283	0.0176102	0.0054981	0.00201717	0.0311582	0.00818776	0.0010666	0.0240976	0.0549187	0.000287066	0.0442042	0.0189885	0.0248102	0.000126451	0.0227231	0.00370685	0.0259262	0.0266887	0.0161084	0.0401649	0.00793973	0.0289267	0.0128083	0.000187959	0.104548	0.0737248	0.0254486	0.0167971	0.121264	0.0289696	0.211147	0.788853	0.2111471	1.165884
324	-51.72968	-95.87403	44.14435	0.00126125	0.00681011	0.00831368	0.000947478	0.0101731	0.00824056	0.00131433	0.00175411	0.00252664	0.0037447	0.000420406	0.00829896	0.00985561	0.0149389	0.000150233	0.00563402	0.00948105	0.00585468	0.0129675	0.00561416	0.00180716	0.00652196	0.0229953	0.0140703	0.00977403	0.00966431	0.0076465	0.0109669	0.0186935	0.00974075	0.00643012	0.00287684	0.000572042	0.0098747	0.000226245	1.861152	0.1388478	0.337257	0.588553	0.847573	1.17984	1.69908	2.9651	0.7859105	0.07460313	0.00504174	0.0272228	0.0332332	0.00378746	0.0406662	0.0329409	0.00525391	0.00701188	0.0101	0.0149691	0.00168054	0.0331743	0.0393969	0.059717	0.000600541	0.0225215	0.0378996	0.0234036	0.0518363	0.0224421	0.00722395	0.0260709	0.0919216	0.0562448	0.0390708	0.0386322	0.0305662	0.043839	0.0747255	0.0389377	0.0257038	0.0114999	0.00228668	0.0394732	0.000904394	0.720183	0.279817	0.720183	0.2501621
